Система должна обнаружить уязвимости SQL и уязвимости XSS для данного веб-сайта или веб-приложения	Как пользователь, я хочу ввести URL, чтобы проанализировать его на наличие уязвимостей.
Система позволит пользователю загружать и загружать хранимые файлы	Как пользователь, я могу легко загружать и загружать файлы в облачное хранилище.
Система должна предоставить платформу, которая позволяет пользователю загружать файлы для хранения, а также поиск файлов при загрузке	Как пользователь, я могу удобно находить и загружать файлы, используя платформу.
Система должна разрешить безопасные загруженные файлы с помощью алгоритма AES с 256-битным ключом	Как пользователь, я могу быть уверен, что мои файлы безопасно зашифрованы.
Система должна автоматически шифровать файлы, которые будут загружены пользователем для хранения с использованием 256-битного ключа шифрования	Как пользователь, я не беспокоюсь о шифровании, так как это происходит автоматически.
Система должна позволить пользователю проверять целостность сохраненных данных через функциональность PDP	Как пользователь, я могу убедиться в целостности своих данных с помощью проверки.
Система должна быть легко поддерживать, так как ее можно легко интегрировать с другими системами, измененными или повторно использованными на других разных платформах	Как пользователь, я могу быть уверен, что система совместима с различными платформами.
Система должна быть на основе Интернета и, следовательно, гарантирует максимальную доступность данных для владельцев облачных данных	Как пользователь, я всегда имею доступ к своим данным независимо от устройства.
Система должна иметь четко определенные ссылки и кнопки, которые показывают различные функции, которые может потребовать пользователя	Как пользователь, я могу легко находить нужные функции благодаря понятному интерфейсу.
Система позволит нескольким клиентам входить в систему и сохранять свои файлы на удаленном сервере	Как пользователь, я могу входить в систему одновременно с другими и сохранять свои данные.
Система должна быть простым в использовании и привлекательным веб-сайтом с четким представлением элементов	Как пользователь, я нахожу веб-сайт интуитивно понятным и удобным для навигации.
Система должна быть удобной для пользователя и облегчить пользователям навигацию по веб-материалам	Как пользователь, я легко перемещаюсь по материалам и получаю нужную информацию.
Система должна быть отзывчивым, чтобы приложение не держало владельцев данных в течение длительного времени, ожидая, пока она обработает свои запросы и отвечает	Как пользователь, я получаю быстрое реагирование приложения на свои действия.
Система должна быть интерактивной и предоставлять информацию о помощи, чтобы помочь клиентам и дать им руководство о том, как использовать систему	Как пользователь, я могу получать помощь и подсказки в реальном времени по использованию системы.
Система должна быть портативной, чтобы ее можно было использовать на разных устройствах с разными размерами экрана без трудностей	Как пользователь, я могу получить доступ к приложению с любого устройства, будь то смартфон или планшет.
Система должна использоваться для обнаружения наличия вредоносного ПО в приложении Android, определяя возможные семейства вредоносных программ и классифицируя соответствующие семейства	Как пользователь, я могу получать информацию о безопасности приложений Android.
Система должна генерировать отчет, в котором рассказывается о том, какое влияние вредоносное ПО оказывает на систему	Как пользователь, я получаю отчет о вредоносном ПО и его воздействии на систему.
Система должна показывать отчет, содержащий подробные результаты, найденные в файлах, представленных для анализа, и четко указывать, какой файл вреден, а какой из них доброкачественный	Как пользователь, я вижу четкие результаты анализа и могу принимать обоснованные решения о своих файлах.
Система должна сосредоточиться на известных и неизвестных семействах вредоносных программ с целью раскрытия вновь разработанных вредоносных программ, которые потенциально вредны для применений Android	Как пользователь, я смогу обнаруживать новые вредоносные программы и предотвращать их вредоносные действия.
Приложение будет доступно в качестве автономного приложения, которое будет установлено на виртуальных машинах пользователей и, следовательно, не повлияет на доступность сети	Как пользователь, я могу использовать приложение без подключения к интернету, что обеспечивает большую безопасность.
Система должна быть абстрагирована от пользователя, а приложение не имеет взаимодействия с пользователем, поэтому шансы на то, что пользователи нарушают его, очень ограничены	Как пользователь, я не вмешиваюсь в работу системы, что снижает риск ошибок.
Система должна быть разработана таким образом, что конечный продукт будет удобным для пользователя и очень эффективным	Как пользователь, я смогу быстро и удобно использовать приложение для своих задач.
Система должна быть легко передана и установлена на другой платформе	Как пользователь, я могу перенести приложение на другой компьютер без сложностей.
Система применяет ряд методов, таких как регулярное техническое обслуживание, чтобы облегчить обеспечение надежности системы	Как пользователь, я могу быть уверен в стабильной работе системы без сбоев.
Система должна быть способна получить точные результаты через уменьшенную маржу ложных негативов и ложных срабатываний	Как пользователь, я получаю высокую степень точности в обнаружении угроз.
Система позволит участнику спонтанно сформировать группу N-подписчиков, используя групповые общественные ключи, которые ассоциируют членов группы	Как пользователь, я могу быстро создавать группы для совместной работы с безопасностью.
Система позволит пользователю подписать документ от имени группы, используя свой секретный ключ	Как пользователь, я могу легко подписывать документы, представляя интересы группы.
Система позволит разоблачителю отправлять дайджест сообщения (подпись M +), используя свой мобильный телефон в Комиссию по борьбе с коррупцией Зимбабве	Как пользователь, я могу безопасно отправлять и получать сообщения о мошенничестве и коррупции.
Зимбабве антикоррупционная комиссия, которая поддерживала подпись Verifiesthe, используя общественный ключ группы, чтобы было убеждено, что она на самом деле пришла из организации без знания реального подписавшегося	Как пользователь, я получаю уверенность в подлинности сообщения, проверяя подпись.
Система SAG должна хорошо работать в веб-средах	Как пользователь, я могу использовать систему в браузере без установки дополнительных инструментов.
Система должна адаптироваться ко всем типам применения	Как пользователь, я смогу использовать приложение как для личных, так и коммерческих нужд.
Система должна быть удобной для пользователя	Как пользователь, я нахожу интерфейс простым и интуитивно понятным, без лишних сложностей.
Система должна быть легко перенести в другую среду, включая способность установить	Как пользователь, я могу установить приложение на новое устройство без дополнительных настроек.
Система должна создать среду для внедрения и извлечения водяного знака из изображения	Как пользователь, я могу добавлять защитные метки к своим изображениям, чтобы предотвратить несанкционированное использование.
Система также должна предоставить раздел для проверки в том смысле, что если изображение, как говорят, имеет водяной знак, оно должно быть в состоянии обнаружить и отображать водяной знак	Как пользователь, я могу удостовериться в наличии водяного знака на изображениях.
Система позволит автору, который желает защитить свою работу от несанкционированного использования для загрузки изображения с его/ее видимым цифровым водяным знаком вместе с регистрационным номером	Как пользователь, я могу загружать защищенные изображения с уникальным идентификатором.
Система позволит администратору внедрить невидимый цифровой водяной знак всякий раз, когда автор подчиняет свое произведение искусства	Как пользователь-главный редактор, я могу добавлять невидимые метки на изображения при публикации.
Система должна разрешить проверку изображения с водяным знаком, которое представляется дважды или более разными авторами для защиты авторских прав владельца	Как пользователь, я могу убедиться, что изображения правильно защищены от повторного использования другими авторами.
Система должна применять принцип аутентификации, уведомляя, есть ли водяной знак на изображении или нет	Как пользователь, я получаю уведомление о наличии или отсутствии водяного знака на загружаемом изображении.
Система цифрового водяного знака совместима со всеми операционными системами	Как пользователь, я могу использовать систему на любом устройстве независимо от установленной ОС.
Система сможет сфотографировать подозреваемого	Как пользователь, я смогу делать фото подозрительных объектов для идентификации.
Система должна быть в состоянии сохранить снимки базы данных	Как пользователь, я могу безопасно сохранить все снятые изображения в базе данных.
Система должна позволить пользователю уничтожить файлы сведений подозреваемого или спасения для будущих записей в безопасной базе данных	Как пользователь, я могу удалить данные подозреваемых по своему усмотрению для повышения безопасности.
Система сможет сопоставить текущую картинку с изображениями базы данных	Как пользователь, я получаю возможность быстро и точно находить совпадения в базе данных.
Система сможет получить судимость из базы данных на основе фотографий, сделанных	Как пользователь, я могу узнать о прошлых правонарушениях по предоставленным снимкам.
Система должна использовать централизованную базу данных	Как пользователь, я имею доступ к единой базе данных, что упрощает поиск и управление данными.
Скорость поиска сравнения и сопоставления изображений в базе данных определяется используемым алгоритмом	Как пользователь, я могу ожидать быструю реакцию системы при выполнении поиска.
Система должна иметь независимые классы для баз данных, чтобы их можно было протестировать и легко улучшить	Как пользователь, я могу быть уверен, что система легко расширяема и тестируема.
Система сможет прослушать любые порты в университетской сети Wi-Fi	Как пользователь, я могу контролировать все порты для обнаружения подозрительной активности.
Система сможет блокировать подключение к Интернету с компьютером, выполняющим сканирование портов	Как пользователь, я могу предотвратить нежелательные сканирования и угрозы безопасности.
Система должна быть в состоянии подтолкнуть сценарий предупреждения	Как пользователь, я получаю незамедлительное уведомление о потенциальных угрозах безопасности.
Система сможет проверить NetStat и недавние сетевые подключения, чтобы увидеть, является ли Rogue Node жертвой поворота и, если это так	Как пользователь, я могу видеть текущее состояние сети и идентифицировать ненадежные соединения.
Система должна быть в состоянии восстановить уникальные идентификаторы узла, которые использовались для генерации уникального идентификатора узла/отпечатка пальца при регистрации, когда владелец поступил/присоединился к университету	Как пользователь, я могу отслеживать и восстанавливать идентификацию узлов для безопасности.
Система должна иметь возможность отметить имя хоста мошеннического узла, а также SSID сети, к которой она подключена, чтобы знать, из какого раздела на кампусе представлена атака	Как пользователь, я получаю полное представление о сетевых угрозах в кампусе.
Система сможет проверить со студентами-ноутбуками и университетским ПК-регистром и искать в соответствии с устройствами мошенничество и соответствующие личные данные студентов	Как пользователь, я могу обнаружить несоответствия в идентификационных данных студентов.
Система должна иметь возможность отображать сообщение на экране Rogue Node, предупреждая студента по имени, что сканирование порта не разрешено, и это автоматически добавляется в записи студента, если такое преступление повторяется более одного раза	Как пользователь, я получаю прямое уведомление о нарушении правил с возможными последствиями.
Система должна иметь возможность генерировать ежемесячные отчеты, которые можно просматривать сетевым администратором, когда это необходимо	Как пользователь, я могу получать регулярные отчеты о сетевой активности для анализа.
Программное обеспечение относительно быстрое для большинства графических интерфейсов, поскольку оно будет содержать немного низкоуровневого кода, работающего на фоне	Как пользователь, я наслаждаюсь быстрой и отзывчивой работой приложения без задержек.
Система должна разрешать фоновые процессы контролировать любую информацию о сканировании и реле в реестр о любых необычных действиях	Как пользователь, я могу отслеживать все необычные действия через фоновые процессы для повышения безопасности.
Система должна разрешить 2 секунды для получения данных студента из базы данных	Как пользователь, я получаю данные о студенте быстро и эффективно, максимум за 2 секунды.
Система должна смотреть на сканирование портов только на хосте, на котором она будет развернута, посвятив все прослушивание одной части многих политик в компьютере	Как пользователь, я могу быть уверен, что система мониторит только назначенные хосты.
Система должна быть обновлена с патчами и более новыми версиями, когда это необходимо	Как пользователь, я получаю доступ к последним обновлениям для повышения безопасности и функциональности.
Система должна нуждаться в некоторых настройках, чтобы она работала на платформе Linux, но должна быть установлена на Windows без каких-либо других необходимых корректировок	Как пользователь, я могу легко установить систему на Windows без дополнительных настроек.
Система должна быть доставлена с руководством пользователя, и после установки программное обеспечение легко запустить	Как пользователь, я получаю простые инструкции, что делает установку интуитивно понятной.
Система должна позволить администратору войти в систему и установить программное обеспечение для запуска и дать желаемые оповещения с ПК, сканирующих сервер	Как пользователь-администратор, я смогу настроить систему и получать уведомления о безопасности.
Система сможет обнаружить приближающегося человека	Как пользователь, я могу быстро реагировать на появление новых объектов или лиц благодаря функциям обнаружения.
Система должна иметь возможность вводить цифры и отображать перфорированные цифры	Как пользователь, я могу удобно вводить и видеть вводимые данные для подтверждения.
Система должна быть в состоянии аутентифицировать введенный PIN-код	Как пользователь, я могу безопасно входить в систему, используя PIN-код.
Система сможет открыть дверь, когда PIN-код верен	Как пользователь, я получаю удобный доступ с помощью правильно введенного PIN-кода.
Система должна позволить зуммеру звонить, если сделаны 3 последовательных неправильных попытки	Как пользователь, я получаю защиту от несанкционированного доступа через сигнализацию.
Система позволит GSM отправлять SMS-оповещения, когда введены 3 последовательных неправильных попытки	Как пользователь, я буду оповещён о попытках взлома через SMS, что обеспечивает дополнительную безопасность.
Система должна разрешить короткое время для ответа на команду по шифрованию и расшифровке данных	Как пользователь, я могу ожидать быструю реакцию системы при выполнении операций над данными.
Система должна обеспечить высокую пропускную способность для обработки заявок и обслуживания пользователей	Как пользователь, я получаю возможность быстро обрабатывать большие объемы данных без задержек.
Система должна обеспечить высокую доступность приложения, когда я нуждаюсь в нем, и модуль восстановления должен быть установлен в случае потери мобильного телефона	Как пользователь, я могу использовать систему без перебоев, даже при потере устройства.
Система должна обеспечить короткую передачу данных между компьютером и смартфоном по Bluetooth	Как пользователь, я могу быстро обмениваться данными между устройствами через Bluetooth.
Система должна обеспечить безопасность обмена данными через Bluetooth	Как пользователь, я могу быть уверен, что обмен данными будет безопасным и эффективным.
Система должна обеспечить возможность доступа к системе без мобильного устройства	Как пользователь, я могу получить доступ к системе без необходимости мобильного устройства, что повышает гибкость.
Система сможет правильно функционировать на любой платформе Windows	Как пользователь, я могу использовать систему на любой версии Windows без проблем.
Система должна использовать технику шифрования на стороне базы данных и использовать HTTPS при доступе к сетевым ресурсам через Интернет	Как пользователь, я могу быть уверен в безопасности своих данных благодаря современным методам шифрования и безопасному подключению.
Система должна быть переносной, пока он имеет подключение к Интернету	Как пользователь, я могу использовать систему на любом устройстве с доступом к Интернету.
Система должна отправлять детские SMS на родительское устройство	Как родитель, я буду получать все сообщения, отправленные моим ребенком, для лучшего контроля.
Система должна пересылать детские SMS/MMS в учетную запись электронной почты	Как пользователь, я могу получать все сообщения на электронную почту для удобного доступа и хранения.
Система должна отправлять уведомления по телефону детского устройства в качестве SMS	Как пользователь, я смогу быстро получать важные уведомления о деятельности ребенка.
Система должна пересылать уведомления с телефонов детского устройства в учетную запись электронной почты	Как пользователь, я получу уведомления на почту, что поможет оставаться в курсе событий.
Система сможет запросить местоположение телефона с помощью SMS родительского устройства	Как пользователь, я могу в любой момент узнать местоположение своего ребенка с помощью SMS-запроса.
Система сможет записать телефонные звонки в аудиофайле и пересылать уведомление, если родитель попросил их (только по электронной почте)	Как пользователь, я получаю запись разговоров, если есть необходимость в аудио-доказательствах.
Система сможет отправлять местоположение телефона с периодичностью	Как пользователь, я получаю регулярные обновления о местоположении своего ребенка для обеспечения безопасности.
Система сможет пересылать картинки	Как пользователь, я могу получать и отправлять изображения для быстрого обмена информацией.
Система сможет отправить случайный снимок видеороликов, воспроизводимых на телефоне (только по электронной почте)	Как пользователь, я могу получать случайные снимки с экрана устройства для мониторинга деятельности ребенка.
Система сможет удаленно запустить/остановить запись микрофона с ключевым словом в SMS и пересылать аудиофайл по электронной почте	Как пользователь, я могу активировать запись, если это необходимо, с помощью простого SMS.
Система должна иметь возможность получить доступ к списку контактов на детском устройстве	Как пользователь, я смогу видеть, с кем общается мой ребенок, для обеспечения безопасности.
Система должна иметь возможность отключить/включить список приложений с помощью ключевого слова в SMS	Как пользователь, я могу легко управлять доступом к приложениям на устройстве ребенка.
Система должна иметь напоминания о ребенке	Как пользователь, я смогу установить напоминания о важных событиях или заботах, связанных с ребенком.
Система должна иметь возможность фильтровать вредные веб-сайты по сравнению с URL-адресами известных вредных веб-сайтов, доступ к которым не разрешается	Как пользователь, я могу быть уверен, что ребенок не получит доступ к опасному контенту в Интернете.
Система может собирать и анализировать данные, которые набирает ребенок, и отслеживать ключевые слова или последовательности ругательств	Как пользователь, я могу отслеживать подозрительное или нежелательное поведение ребенка через текстовые сообщения.
Система предотвращает установку или удаление каких-либо приложений	Как пользователь, я могу быть уверен, что ребенок не сможет изменить настройки устройства без моего разрешения.
Система сможет генерировать и отправлять периодические журналы активности смартфона родителя	Как пользователь, я смогу автоматически получать отчеты о активности ребенка на его устройстве.
Система должна работать постоянно, контролируя поведение ребенка и предотвращая отправку или получение каких-либо средств массовой информации с помощью Bluetooth	Как пользователь, я могу быть уверенным в том, что устройство всегда под контролем и защищено от ненадежных источников передачи данных.
Система разрешает пользователю, у которого есть функциональная учетная запись с платформой Twitter, создавать приложение для доступа к токенам	Как пользователь, я могу получить доступ к функционалу Twitter через свою учетную запись для разработки приложений.
Система сможет подключаться к API потокового трансляции Twitter	Как пользователь, я буду иметь возможность получать актуальные данные из Twitter в режиме реального времени.
Система должна быть в состоянии извлекать необработанные данные из Twitter в режиме реального времени	Как пользователь, я могу получать реальные данные с Twitter для анализа и обработки.
Система должна иметь возможность предварительно обрабатывать неструктурированные данные в информацию о значении и соответствовать существующим ключевым словам в базе данных	Как пользователь, я буду получать организованную и полезную информацию из потоковых данных.
Система должна иметь возможность применить алгоритм классификации для классификации обработанных твитов, соответствующих маркированным твитам в Твиттере Корпус	Как пользователь, я смогу выявлять и классифицировать нужные твиты на основе выбранных критериев.
Система должна использоваться на любом устройстве, которое соответствует указанным аппаратным и программным требованиям	Как пользователь, я могу работать с системой на любом совместимом устройстве без ограничений.
Система будет использоваться правительственными чиновниками для предоставления соответствующей информации, а также пользователем в порядке, чтобы обычный веб-поиск, где поиск веб-информации затруднён, так как сотни нерелевантных документов возвращаются в ответ на поисковый запрос	Как пользователь, я могу быстро получать актуальную и релевантную информацию, избегая лишних данных.
Система синхронизируется с крупными международными биржами биткойнов для получения обменных цен в реальном времени	Как пользователь, я могу отслеживать текущие котировки биткойнов и принимать информированные решения.
Система должна обеспечить валютный калькулятор для преобразования биткойнов в доллар США	Как пользователь, я смогу быстро преобразовать биткойны в доллары и наоборот.
Система должна обеспечить условное депонирование (Paynow, связанное с Зимбабвийскими коммерческими банками и мобильными деньгами), который блокирует доллар США до подтверждения продавца	Как пользователь, я получу безопасность при проведении транзакций, минимизируя риски.
Система должна предоставить статистику репутации веб-сайтов	Как пользователь, я смогу оценивать надежность веб-сайтов на основе доступной статистики.
Система должна захватывать и хранить все транзакции	Как пользователь, я смогу отслеживать историю всех проведенных транзакций для анализа и отчетности.
Система должна управлять профилями пользователей	Как пользователь, я смогу сохранять и настраивать свои данные и предпочитаемые настройки для более удобного использования.
Система должна включать обработку биткойнов	Как пользователь, я смогу проводить операции с биткойнами, включая отправку и получение средств.
Система сможет синхронизироваться с другими обменными платформами по обменным ценам	Как пользователь, я буду информирован о различных ценах на биткойн на всех поддерживаемых платформах.
Система должна гарантировать, что взаимодействие между пользователем и приложением имеет минимальное время задержки	Как пользователь, я получу мгновенные ответы на свои действия и запросы в системе.
Система должна обеспечить безопасный отказ в случае ошибки	Как пользователь, я могу быть уверен в надежности системы даже в случае возникновения ошибок.
Система должна обеспечить устойчивость к разлому и извлечение на погашении	Как пользователь, я смогу восстановить данные в случае сбоев, обеспечивая их целостность и доступность.
Система должна соответствовать руководящим принципам Зимбабве по борьбе с отмыванием денег	Как пользователь, я гарантирую, что все транзакции соответствуют местным регуляциям и законодательству.
Система должна быть простой и удобной для пользователя	Как пользователь, я смогу легко и интуитивно использовать систему без профессиональных знаний.
Новые обменные интерфейсы должны быть легко интегрированы в уже существующую систему без изменения основной функциональности программного обеспечения для продукта	Как пользователь, я смогу добавлять новые обменные интерфейсы, не затрагивая работу уже существующей системы.
Система позволит участнику спонтанно сформировать группу N-подписчиков, используя групповые общественные ключи, которые ассоциируют членов группы	Как пользователь, я смогу легко создавать группы для совместной работы, повышая безопасность документов.
Система позволит пользователю подписать документ от имени группы, используя свой секретный ключ	Как пользователь, я могу подтверждать документы от имени группы, что упрощает процесс аутентификации.
Система позволит разоблачителю отправлять дайджест сообщения (подпись M +), используя свой мобильный телефон в Комиссию по борьбе с коррупцией Зимбабве	Как пользователь, я смогу быстро и безопасно отправлять сообщения в контролирующие органы, поддерживая конфиденциальность.
Система позволит Антикоррупционной комиссии Зимбабве проверить подпись, используя общественный ключ группы, чтобы убедиться, что она действительно исходила от организации без знания реального подписавшегося	Как пользователь, работающий в комиссии, я смогу подтвердить достоверность сообщений, сохраняя анонимность подписчика.
Система должна хорошо работать в веб-средах	Как пользователь, я смогу получить доступ к системе через браузер, что обеспечит удобное использование.
Система должна адаптироваться ко всем типам применения	Как пользователь, я смогу использовать систему для различных сценариев и задач без необходимости адаптации.
Система должна обеспечить устойчивость и восстановление, минимизируя проблемы с балансом времени развития	Как пользователь, я могу быть уверен, что система будет работать без сбоев даже при увеличенной нагрузке.
Система должна быть простой и удобной для пользователя	Как пользователь, я смогу легко понять и использовать систему без дополнительных тренингов.
Система должна обеспечить хорошее поведение производительности и ресурсов, измеряя статические атрибуты качества приложения для прогнозирования потенциальных узких мест работы и будущих проблем масштабирования	Как пользователь, я буду иметь уверенность в стабильной работе системы даже при увеличении числа пользователей.
Система должна обеспечить легкую обслуживаемость, применяя лучшие практики в документации и избежание сложности	Как пользователь, я смогу быстро находить необходимые разделы в документации, что облегчит обслуживание системы.
Система должна быть легко перенесена в другую среду с возможностью установки	Как пользователь, я смогу без труда перенастроить систему на другом оборудовании или операционной системе.
Система должна контролировать движение через камеры	Как пользователь, я смогу следить за движением в определенной зоне, что повысит уровень безопасности.
Система должна сохранять видео-журналы, которые фиксируют только движение	Как пользователь, я смогу пересматривать только актуальные записи, что существенно сэкономит место на хранилище.
Система должна сообщать о движении и предупреждать ответственные стороны после анализа условий без помощи датчиков обнаружения внешнего движения	Как пользователь, я смогу получать своевременные уведомления о потенциальных угрозах без необходимости установки дополнительных датчиков.
Система должна обеспечивать умеренную и высокую производительность из-за ограниченного использования ресурсов, используя сборщик мусора для случаев, когда компилятор может создать неэффективный код	Как пользователь, я смогу наслаждаться быстрым и стабильным функционированием системы, даже если ресурсы ограничены.
Система должна использовать многопоточность экономно, чтобы увеличить производительность системы, не замедляя оборудование низкого класса	Как пользователь, я смогу одновременно выполнять несколько задач без негативного влияния на производительность.
Система должна быть удобна для очень маленькой кривой обучения	Как пользователь, я смогу быстро освоить систему и начать ее использование без длительного обучения.
Интуитивно понятный дизайн интерфейса системы сделает работу программного обеспечения легкой и быстрой	Как пользователь, я смогу легко находить нужные функции и команды, что повысит общую производительность.
Система должна предоставить подробное руководство по использованию, поскольку кривая обучения оказалась слишком крутой для некоторых пользователей	Как пользователь, я смогу обратиться к четким инструкциям, что поможет быстро освоить систему.
Система должна быть развернута в любой системе с правильной версией Python и соответствующими зависимыми нестандартными библиотеками, но проще, если упакована с использованием Flodesk	Как пользователь, я смогу быстро установить и запустить систему без необходимости глубоких технических знаний о Python.
Система должна быть подлежит обслуживанию путем обеспечения соблюдения модульности, которая создает компоненты системы слабо связаны, чтобы они могли быть модифицированы независимо и реинтегрированы в систему	Как пользователь, я смогу легко обновлять отдельные части системы, не беспокоясь о том, что это повлияет на всю функциональность.
Система должна поддерживать строгую документацию, включая комментарии в исходном коде, чтобы сделать код легко изменяемым и отлаживаемым	Как пользователь, я смогу быстро найти нужные части кода или понять логику работы системы, что упростит задачи отладки и внесения изменений.
Система должна разрешить мониторинг сетевого трафика в режиме реального времени, захватывая входящий и исходящий TCP и HTTP (HTTPS) трафик и веб-трафик TLS, чтобы сопоставить его с настроенным черным списком CryptoJacking	Как пользователь, я смогу обнаруживать и реагировать на вредоносный трафик мгновенно, повышая безопасность своей сети.
Система должна проанализировать TCP и HTTPS и TLS веб-трафик для обнаружения сетевых соединений с известными пулами добычи криптовалют или поставщиками услуг, такими как BTCCOM и Coinhive	Как пользователь, я получу возможность идентифицировать потенциальные угрозы, что позволит избежать ущерба от незнакомых соединений.
Система должна создать снимок обычного среднего процента использования процессора пользователя, чтобы впоследствии быть использованным в качестве базы для сравнения, позволяя обнаружить огромное увеличение нагрузки ЦП, вызванное криптохингом	Как пользователь, я смогу отслеживать аномалии в производительности благодаря заранее собранным данным об использовании процессора.
Система должна отслеживать использование процессора для обнаружения пиков в использовании, вызванных криптохингом, путем постоянного чтения текущего процента использования процессора компьютера и сравнения его с базовой линией использования, чтобы обнаруживать экстремальные всплески или отклонения	Как пользователь, я смогу оперативно реагировать на нагрузки, которые выходят за пределы нормы, предотвращая возможные замедления работы.
Система должна создать всплывающее уведомление, сообщающее о обнаруженной активности криптохинга	Как пользователь, я буду мгновенно уведомлен о подозрительной активности, что поможет мне быстро реагировать на угрозы.
Система должна автоматически отправлять оповещения по электронной почте о обнаруженной деятельности криптохинга	Как пользователь, я смогу получать уведомления вне зависимости от того, где я нахожусь, что гарантирует постоянный мониторинг.
Система должна разрешить пользователю установить пароль с изменением электронной почты, чтобы впоследствии его запрашивали при попытке изменить адрес электронной почты	Как пользователь, я буду защищен от несанкционированных изменений учетной записи, что повысит безопасность моих данных.
Система должна позволить приложению CryptoJacking быть остановленным, если пользователь явно не выберет, чтобы проигнорировать приложение CryptoJacking	Как пользователь, я смогу контролировать работу системы и отключать её в случае необходимости для повышения безопасности.
Система должна обнаруживать домены или заявки на криптохинг, которые должны быть зарегистрированы вместе с датой и временем обнаружения	Как пользователь, я смогу отслеживать и анализировать все зарегистрированные угрозы, что повышает безопасность через ведение журнала инцидентов.
Система должна быть в состоянии быстро обнаружить криптохинг во время актуального мониторинга	Как пользователь, я могу быть уверен, что система будет оперативно реагировать на угрозы, что позволит предотвращать вредоносные действия.
Система не должна потреблять значительно высокие ресурсы процессора	Как пользователь, я смогу успешно выполнять другие задачи на своем устройстве, не испытывая снижения производительности.
Система должна работать с минимальными накладными расходами на ЦП	Как пользователь, я смогу оптимально использовать системные ресурсы, что особенно важно для устройств с ограниченными возможностями.
Система должна быть простой в использовании даже для обычных пользователей с удобным для пользователя интерфейсом	Как пользователь, я смогу легко навигировать по системе без специальных технических навыков, что делает её доступной для широкой аудитории.
Система должна позволять легко изучить и понять, как эффективно использовать систему	Как пользователь, я смогу быстро освоить функционал системы, что повысит эффективность работы с ней.
